date,sales,profit,region,category,customer_satisfaction,employee_count,marketing_spend
2024-01-01,15000,3000,North,Electronics,4.2,25,5000
2024-01-02,18000,3600,South,Clothing,4.5,30,6000
2024-01-03,12000,2400,East,Electronics,3.9,22,4500
2024-01-04,22000,4400,West,Home,4.7,35,7000
2024-01-05,16000,3200,North,Clothing,4.1,28,5500
2024-01-06,19000,3800,South,Electronics,4.6,32,6200
2024-01-07,14000,2800,East,Home,4.0,24,4800
2024-01-08,21000,4200,West,Clothing,4.8,36,6800
2024-01-09,17000,3400,North,Electronics,4.3,29,5700
2024-01-10,20000,4000,South,Home,4.4,33,6500
2024-01-11,13000,2600,East,Clothing,3.8,23,4200
2024-01-12,25000,5000,West,Electronics,4.9,38,7500
2024-01-13,16500,3300,North,Home,4.2,27,5300
2024-01-14,18500,3700,South,Clothing,4.5,31,6100
2024-01-15,15500,3100,East,Electronics,4.1,26,5200
2024-01-16,23000,4600,West,Home,4.7,37,7200
2024-01-17,17500,3500,North,Clothing,4.3,29,5800
2024-01-18,19500,3900,South,Electronics,4.6,32,6300
2024-01-19,14500,2900,East,Home,4.0,25,4900
2024-01-20,24000,4800,West,Clothing,4.8,39,7800
2024-01-21,16800,3360,North,Electronics,4.2,28,5600
2024-01-22,20500,4100,South,Home,4.5,34,6600
2024-01-23,13500,2700,East,Clothing,3.9,24,4300
2024-01-24,26000,5200,West,Electronics,5.0,40,8000
2024-01-25,17200,3440,North,Home,4.3,29,5900
2024-01-26,19200,3840,South,Clothing,4.6,32,6400
2024-01-27,15200,3040,East,Electronics,4.1,26,5100
2024-01-28,23500,4700,West,Home,4.8,38,7400
2024-01-29,18200,3640,North,Clothing,4.4,30,6000
2024-01-30,21000,4200,South,Electronics,4.7,35,6800
2024-02-01,16200,3240,East,Home,4.2,27,5400
2024-02-02,24500,4900,West,Clothing,4.9,39,7900
2024-02-03,17800,3560,North,Electronics,4.3,30,5900
2024-02-04,20800,4160,South,Home,4.6,34,6700
2024-02-05,14200,2840,East,Clothing,4.0,25,4600
2024-02-06,25500,5100,West,Electronics,4.9,40,8200
2024-02-07,18000,3600,North,Home,4.4,31,6000
2024-02-08,21500,4300,South,Clothing,4.7,35,7000
2024-02-09,15800,3160,East,Electronics,4.2,27,5300
2024-02-10,24200,4840,West,Home,4.8,39,7700
2024-02-11,17500,3500,North,Clothing,4.3,29,5800
2024-02-12,20200,4040,South,Electronics,4.6,33,6500
2024-02-13,14800,2960,East,Home,4.1,26,4800
2024-02-14,26500,5300,West,Clothing,5.0,41,8500
2024-02-15,18500,3700,North,Electronics,4.4,31,6200
2024-02-16,21200,4240,South,Home,4.7,35,6900
2024-02-17,15500,3100,East,Clothing,4.2,27,5200
2024-02-18,24800,4960,West,Electronics,4.9,40,8000
2024-02-19,18800,3760,North,Home,4.5,32,6300
2024-02-20,21800,4360,South,Clothing,4.8,36,7100
2024-02-21,16200,3240,East,Electronics,4.2,28,5400
2024-02-22,25200,5040,West,Home,4.9,40,8100
2024-02-23,19200,3840,North,Clothing,4.5,33,6400
2024-02-24,22200,4440,South,Electronics,4.8,36,7200
2024-02-25,15800,3160,East,Home,4.2,27,5300
2024-02-26,26800,5360,West,Clothing,5.0,42,8600
2024-02-27,19500,3900,North,Electronics,4.6,33,6500
2024-02-28,22500,4500,South,Home,4.8,37,7300
